N_Processo;Tipo_Movimentação;Data;Objeto;Tempo;Censura
1,00009E+19;Conclusão-Documento;03/12/2014;Outros;1;0
1,00009E+19;Conclusão-Documento;22/05/2015;Outros;329;0
1,00009E+19;Conclusão-Documento;06/06/2016;Outros;29;0
1,00009E+19;Redistribuição;19/02/2018;Outros;651;1
1,00009E+19;Conclusão-Documento;05/12/2014;Outros;13;0
1,00009E+19;Conclusão-Remessa;18/12/2014;Outros;1;0
1,00009E+19;Conclusão-Documento;04/09/2015;Outros;140;0
1,00009E+19;Conclusão-Ato ordinatorio;22/01/2016;Outros;3;0
1,00009E+19;Conclusão-Documento;19/10/2016;Outros;112;0
1,00009E+19;Redistribuição;19/02/2018;Outros;651;1
1,00009E+19;Conclusão-Documento;25/05/2015;Outros;16;0
1,00009E+19;Conclusão-Documento;05/10/2016;Outros;240;0
1,00009E+19;Conclusão-Redistribuição;23/02/2018;Outros;46;0
1,00009E+19;Conclusão-Petição;27/08/2018;Outros;84;0
1,00009E+19;Petição;05/08/2019;Outros;119;1
1,00076E+19;Conclusão-Distribuição;03/02/2015;Contratos Bancários;42;0
1,00076E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;104;0
1,00076E+19;Conclusão-Expedição de documento;27/03/2019;Contratos Bancários;90;0
1,00076E+19;Decurso de Prazo;09/08/2019;Contratos Bancários;115;1
1,00078E+19;Conclusão-Documento;05/02/2015;Classificação e/ou Preterição;1;0
1,00078E+19;Conclusão-Documento;24/10/2015;Classificação e/ou Preterição;128;0
1,00078E+19;Conclusão-Documento;06/04/2016;Classificação e/ou Preterição;44;0
1,00078E+19;Conclusão-Documento;05/08/2016;Classificação e/ou Preterição;14;0
1,00078E+19;Conclusão-Petição;15/07/2019;Classificação e/ou Preterição;18;0
1,00078E+19;Decurso de Prazo;27/08/2019;Classificação e/ou Preterição;97;1
1,00082E+19;Conclusão-Documento;24/03/2015;Contratos Bancários;21;0
1,00082E+19;Conclusão-Documento;18/06/2015;Contratos Bancários;166;0
1,00082E+19;Conclusão-Decurso de Prazo;22/02/2016;Contratos Bancários;11;0
1,00082E+19;Conclusão-Petição;07/04/2016;Contratos Bancários;64;0
1,00082E+19;Conclusão-Documento;10/06/2016;Contratos Bancários;3;0
1,00082E+19;Conclusão-Documento;24/08/2016;Contratos Bancários;1;0
1,00082E+19;Conclusão-Documento;29/09/2016;Contratos Bancários;242;0
1,00082E+19;Conclusão-Documento;18/07/2017;Contratos Bancários;1;0
1,00082E+19;Conclusão-Documento;05/09/2017;Contratos Bancários;6;0
1,00082E+19;Redistribuição;19/02/2018;Contratos Bancários;651;1
1,00082E+19;Conclusão-Distribuição;04/02/2015;Contratos Bancários;41;0
1,00082E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;196;0
1,00082E+19;Documento;26/08/2019;Contratos Bancários;98;1
1,00083E+19;Conclusão-Documento;05/02/2015;Contratos Bancários;40;0
1,00083E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;202;0
1,00083E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00085E+19;Conclusão-Documento;05/02/2015;Contratos Bancários;7;0
1,00085E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;79;0
1,00085E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00099E+19;Conclusão-Distribuição;09/02/2015;Contratos Bancários;3;0
1,00099E+19;Conclusão-Decurso de Prazo;24/08/2018;Contratos Bancários;87;0
1,00099E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00107E+19;Conclusão-Documento;12/02/2015;Contratos Bancários;33;0
1,00107E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;53;0
1,00107E+19;Conclusão-Juntada;27/05/2019;Contratos Bancários;31;0
1,00107E+19;Conclusão-Decurso de Prazo;29/10/2019;Contratos Bancários;1;0
1,00107E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,00129E+19;Conclusão-Documento;26/02/2015;Contratos Bancários;19;0
1,00129E+19;Conclusão-Decurso de Prazo;09/02/2018;Contratos Bancários;60;0
1,00129E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00137E+19;Conclusão-Documento;02/03/2015;Contratos Bancários;15;0
1,00137E+19;Conclusão-Decurso de Prazo;08/08/2017;Contratos Bancários;231;0
1,00137E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00142E+19;Conclusão-Documento;04/03/2015;Contratos Bancários;13;0
1,00142E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00151E+19;Conclusão-Documento;06/03/2015;Contratos Bancários;11;0
1,00151E+19;Conclusão-Decurso de Prazo;09/02/2018;Contratos Bancários;60;0
1,00151E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00157E+19;Conclusão-Distribuição;09/03/2015;Contratos Bancários;8;0
1,00157E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;201;0
1,00157E+19;Conclusão-Decurso de Prazo;22/04/2019;Contratos Bancários;64;0
1,00157E+19;Conclusão-Decurso de Prazo;30/10/2019;Contratos Bancários;33;0
1,00157E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,00157E+19;Conclusão-Mero expediente;09/03/2015;Contratos Bancários;8;0
1,00157E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;154;0
1,00157E+19;Conclusão-Decurso de Prazo;10/04/2019;Contratos Bancários;76;0
1,00157E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00157E+19;Conclusão-Distribuição;31/03/2015;Contratos Bancários;29;0
1,00157E+19;Conclusão-Mandado;28/08/2015;Contratos Bancários;3;0
1,00157E+19;Conclusão-Decurso de Prazo;13/10/2015;Contratos Bancários;1;0
1,00157E+19;Conclusão-Redistribuição;16/10/2015;Contratos Bancários;186;0
1,00157E+19;Conclusão-Decurso de Prazo;09/02/2018;Contratos Bancários;61;0
1,00157E+19;Conclusão-Petição;27/09/2018;Contratos Bancários;53;0
1,00157E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,0019E+19;Conclusão-Distribuição;24/03/2015;Outros;2;0
1,0019E+19;Conclusão-Petição;30/11/2015;Outros;3;0
1,0019E+19;Conclusão-Petição;05/07/2017;Outros;1;0
1,0019E+19;Conclusão-Petição;29/11/2017;Outros;5;0
1,0019E+19;Conclusão-Desarquivamento;10/10/2019;Outros;13;0
1,0019E+19;Expedição de documento;24/10/2019;Outros;39;1
1,00194E+19;Conclusão-Documento;25/03/2015;Outros;1;0
1,00194E+19;Conclusão-Documento;26/03/2015;Outros;5;0
1,00194E+19;Conclusão-Documento;18/04/2018;Outros;30;0
1,00194E+19;Conclusão-Mero expediente;03/07/2019;Outros;13;0
1,00194E+19;Conclusão-Petição;08/10/2019;Outros;7;0
1,00194E+19;Petição;16/10/2019;Outros;47;1
1,00202E+19;Conclusão-Petição;30/03/2015;Outros;18;0
1,00202E+19;Conclusão-Documento;01/06/2015;Outros;10;0
