"","N_Processo","Tipo_Movimentação","Data","Tempo","Censura"
"3",1.0000893520144e+19,"Conclusão-Documento","2014-12-03",0,0
"26",1.0000893520144e+19,"Conclusão-Documento","2015-05-22",0,0
"38",1.0000893520144e+19,"Conclusão-Documento","2016-06-06",0,0
"46",1.0000893520144e+19,"Redistribuição","2018-02-19",651,1
"49",1.0000937220144e+19,"Conclusão-Documento","2014-12-05",0,0
"51",1.0000937220144e+19,"Conclusão-Remessa","2014-12-18",0,0
"69",1.0000937220144e+19,"Conclusão-Documento","2015-09-04",0,0
"71",1.0000937220144e+19,"Conclusão-Ato ordinatorio","2016-01-22",0,0
"85",1.0000937220144e+19,"Conclusão-Documento","2016-10-19",43,0
"102",1.0000937220144e+19,"Redistribuição","2018-02-19",651,1
"106",1.0000899820154e+19,"Conclusão-Documento","2015-05-25",0,0
"122",1.0000899820154e+19,"Conclusão-Documento","2016-10-05",0,0
"135",1.0000899820154e+19,"Conclusão-Redistribuição","2018-02-23",4,0
"139",1.0000899820154e+19,"Conclusão-Petição","2018-08-27",90,0
"143",1.0000899820154e+19,"Petição","2019-08-05",119,1
"145",1.0007550220154e+19,"Conclusão-Distribuição","2015-02-03",0,0
"153",1.0007550220154e+19,"Conclusão-Decurso de Prazo","2017-09-21",83,0
"157",1.0007550220154e+19,"Conclusão-Expedição de documento","2019-03-27",273,0
"161",1.0007550220154e+19,"Decurso de Prazo","2019-08-09",115,1
"164",1.0007767520154e+19,"Conclusão-Documento","2015-02-05",0,0
"174",1.0007767520154e+19,"Conclusão-Documento","2015-10-24",0,0
"188",1.0007767520154e+19,"Conclusão-Documento","2016-04-06",0,0
"201",1.0007767520154e+19,"Conclusão-Documento","2016-08-05",0,0
"206",1.0007767520154e+19,"Conclusão-Petição","2019-07-15",70,0
"209",1.0007767520154e+19,"Decurso de Prazo","2019-08-27",97,1
"212",1.0008165720154e+19,"Conclusão-Documento","2015-03-24",42,0
"222",1.0008165720154e+19,"Conclusão-Documento","2015-06-18",0,0
"227",1.0008165720154e+19,"Conclusão-Decurso de Prazo","2016-02-22",65,0
"232",1.0008165720154e+19,"Conclusão-Petição","2016-04-07",21,0
"236",1.0008165720154e+19,"Conclusão-Documento","2016-06-10",0,0
"248",1.0008165720154e+19,"Conclusão-Documento","2016-08-24",0,0
"254",1.0008165720154e+19,"Conclusão-Documento","2016-09-29",0,0
"260",1.0008165720154e+19,"Conclusão-Documento","2017-07-18",0,0
"269",1.0008165720154e+19,"Conclusão-Documento","2017-09-05",0,0
"278",1.0008165720154e+19,"Redistribuição","2018-02-19",651,1
"280",1.0008217920154e+19,"Conclusão-Distribuição","2015-02-04",0,0
"294",1.0008217920154e+19,"Conclusão-Decurso de Prazo","2017-09-21",92,0
"306",1.0008217920154e+19,"Documento","2019-08-26",98,1
"309",1.0008295620154e+19,"Conclusão-Documento","2015-02-05",0,0
"318",1.0008295620154e+19,"Conclusão-Decurso de Prazo","2017-09-21",83,0
"324",1.0008295620154e+19,"Decurso de Prazo","2019-08-23",101,1
