"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"1","123XXX","Apelido1","Aberto","Alerta","Busca e Apreensão","2019-11-21",1,1,1,3,15,30,1,3,15,1,1,5,15,1,1,5,5,1,5,5,10,1,5,5,1,5,5,90,60,1,1,5,15,1,5,15,1,30
"2","124XXX","Apelido2","Aberto","Atrasado","Busca e Apreensão","2019-11-04",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","125XXX","Apelido3","Aberto","Alerta","Busca e Apreensão","2018-09-12",5,2,0,2,15,36,4,4,18,5,0,5,17,3,4,3,7,0,3,4,18,4,8,6,4,8,8,90,67,1,2,10,11,2,8,20,0,23
"4","126XXX","Apelido4","Aberto","Ok","Busca e Apreensão","2018-11-19",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","127XXX","Apelido5","Aberto","Atrasado","Busca e Apreensão","2017-01-09",1,5,4,7,10,22,3,1,18,5,5,6,11,2,0,9,4,4,4,10,13,3,5,2,2,3,4,92,68,4,5,3,19,5,4,13,4,35
"6","128XXX","Apelido6","Aberto","Ok","Busca e Apreensão","2017-05-15",0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","129XXX","Apelido7","Aberto","Atrasado","Busca e Apreensão","2018-10-21",3,4,4,5,11,36,4,4,14,0,4,4,18,4,1,8,6,3,9,5,9,5,4,7,5,8,3,102,70,5,1,10,12,4,4,12,2,25
"8","130XXX","Apelido8","Aberto","Ok","Busca e Apreensão","2017-04-28",3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","131XXX","Apelido9","Aberto","Atrasado","Busca e Apreensão","2018-01-14",3,2,1,1,11,25,1,2,13,4,5,7,17,4,4,5,6,2,6,5,10,1,2,10,0,2,10,96,54,0,5,3,16,0,3,19,3,26
"10","132XXX","Apelido10","Aberto","Ok","Busca e Apreensão","2018-09-28",1,4,3,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
