"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"1","1000XXX","Apelido878","Encerrado","Alerta","Ação Civil Coletiva","2018-06-06",0,4,1,4,14,40,2,7,17,2,1,4,12,2,1,3,2,3,8,2,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1001XXX","Apelido879","Encerrado","Alerta","Ação Civil Coletiva","2018-07-10",4,1,5,5,15,39,1,7,11,3,5,2,16,1,4,10,5,2,8,8,14,1,10,5,2,5,7,103,69,1,4,10,14,3,6,11,5,29
"3","1002XXX","Apelido880","Encerrado","Alerta","Ação Civil Coletiva","2017-10-13",4,3,1,2,18,29,4,6,15,1,1,9,14,5,1,2,2,5,3,7,14,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1003XXX","Apelido881","Encerrado","Alerta","Ação Civil Coletiva","2019-05-20",1,1,1,5,13,38,4,1,11,1,4,4,19,1,1,2,9,2,5,2,8,4,5,9,1,6,3,94,58,2,2,10,16,5,7,13,1,26
"5","1004XXX","Apelido882","Encerrado","Alerta","Ação Civil Coletiva","2017-10-25",4,2,1,3,19,29,4,2,11,1,5,3,13,1,1,4,5,3,10,5,16,2,6,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0
"6","1005XXX","Apelido883","Encerrado","Alerta","Ação Civil Coletiva","2018-08-17",4,5,2,4,12,25,5,3,13,3,4,4,11,2,3,8,9,1,8,6,18,5,7,8,2,10,6,98,64,1,3,5,10,5,5,15,1,39
"7","1006XXX","Apelido884","Encerrado","Alerta","Ação Civil Coletiva","2019-02-06",1,1,4,1,11,22,5,7,20,1,1,9,18,5,1,10,8,1,9,10,10,1,3,9,1,6,3,0,0,0,0,0,0,0,0,0,0,0
"8","1007XXX","Apelido885","Encerrado","Alerta","Ação Civil Coletiva","2019-08-26",5,2,2,4,15,33,5,6,13,4,4,4,14,3,1,6,3,2,5,5,13,5,4,6,2,7,10,101,68,5,3,6,17,3,2,12,1,29
"9","1008XXX","Apelido886","Encerrado","Alerta","Ação Civil Coletiva","2017-08-08",3,2,1,6,13,31,4,4,16,1,4,7,14,1,4,5,9,3,10,6,15,2,4,10,4,6,10,98,0,0,0,0,0,0,0,0,0,0
"10","1009XXX","Apelido887","Encerrado","Alerta","Ação Civil Coletiva","2018-02-21",5,4,1,5,16,40,3,1,15,1,4,7,17,5,1,8,7,3,10,2,17,3,9,3,1,9,3,90,51,1,4,5,12,3,5,10,1,30
"11","1010XXX","Apelido888","Encerrado","Alerta","Ação Civil Coletiva","2018-10-12",3,4,5,4,11,37,5,5,20,2,3,9,17,3,3,5,6,1,10,9,17,1,2,10,5,5,6,90,62,0,0,0,0,0,0,0,0,0
