"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"1","123XXX","Apelido1","Aberto","Alerta","Busca e Apreensão","2019-10-16",1,1,1,3,15,30,1,3,15,1,1,5,15,1,1,5,5,1,5,5,10,1,5,5,1,5,5,90,60,1,1,5,15,1,5,15,1,30
"2","124XXX","Apelido2","Aberto","Ok","Busca e Apreensão","2020-03-11",0,0,3,5,12,26,3,4,13,4,3,3,18,4,4,5,8,1,6,10,15,4,8,9,5,10,6,110,67,2,1,5,20,3,4,12,4,22
"3","125XXX","Apelido3","Aberto","Atrasado","Busca e Apreensão","2020-02-16",0,5,3,2,12,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","126XXX","Apelido4","Aberto","Ok","Busca e Apreensão","2020-04-14",4,2,3,7,16,27,4,4,12,1,2,6,14,3,4,6,3,4,10,3,13,3,6,5,4,4,3,94,70,0,4,6,15,3,8,20,5,22
"5","127XXX","Apelido5","Aberto","Alerta","Busca e Apreensão","2019-04-22",2,3,2,7,19,40,3,7,19,2,4,5,12,3,3,6,6,2,5,7,10,4,5,8,0,4,3,113,59,0,5,8,12,2,5,18,2,25
"6","128XXX","Apelido6","Aberto","Atrasado","Busca e Apreensão","2019-07-21",1,5,0,2,20,39,2,3,17,2,1,6,16,5,1,9,4,1,7,8,12,5,9,4,2,9,7,85,68,2,1,8,13,4,4,13,2,36
"7","129XXX","Apelido7","Aberto","Atrasado","Busca e Apreensão","2019-04-06",1,1,5,2,17,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","130XXX","Apelido8","Aberto","Ok","Busca e Apreensão","2019-07-28",5,0,1,5,12,35,0,5,20,3,1,5,20,4,3,10,8,2,3,7,12,4,5,7,2,8,4,111,69,2,3,7,20,1,3,18,5,21
"9","131XXX","Apelido9","Aberto","Ok","Busca e Apreensão","2020-01-27",3,2,3,2,14,32,1,5,17,4,3,3,11,2,2,6,4,4,6,5,8,3,10,10,5,7,3,115,57,5,5,10,12,2,7,17,4,22
"10","132XXX","Apelido10","Aberto","Atrasado","Busca e Apreensão","2019-06-18",1,2,5,2,18,33,5,7,17,4,5,8,15,2,1,3,9,2,10,7,12,3,4,9,3,3,4,112,62,5,0,8,19,2,5,14,0,39
"11","133XXX","Apelido11","Aberto","Atrasado","Busca e Apreensão","2019-03-21",2,2,3,3,18,28,3,5,19,4,3,9,18,1,5,8,3,4,9,10,13,0,4,7,5,6,7,87,70,5,3,7,16,0,7,18,2,31
"12","134XXX","Apelido12","Aberto","Ok","Busca e Apreensão","2020-03-21",5,0,2,4,20,39,0,4,17,4,5,9,15,4,2,9,3,5,5,5,11,0,10,7,3,5,8,94,66,3,0,9,16,3,8,20,2,22
"13","135XXX","Apelido13","Aberto","Alerta","Busca e Apreensão","2019-01-15",0,1,5,3,16,25,0,6,17,1,2,4,10,4,0,10,9,2,6,4,9,2,9,10,3,4,6,110,62,0,5,3,10,5,4,15,3,27
"14","136XXX","Apelido14","Aberto","Atrasado","Busca e Apreensão","2019-11-23",0,3,5,3,11,31,4,4,12,2,5,3,14,0,4,8,7,1,8,4,13,1,5,7,4,5,9,89,58,3,1,10,17,5,8,10,2,39
"15","137XXX","Apelido15","Aberto","Alerta","Busca e Apreensão","2019-11-09",2,4,0,5,17,26,5,6,20,4,5,4,16,4,0,10,5,3,9,5,13,1,9,8,2,6,6,110,63,2,3,6,18,5,4,16,4,30
"16","138XXX","Apelido16","Aberto","Alerta","Busca e Apreensão","2020-01-28",0,3,2,3,15,31,4,7,19,3,4,8,13,0,0,4,4,1,4,6,11,4,5,4,3,5,8,116,67,2,5,4,11,2,9,18,0,26
"17","139XXX","Apelido17","Aberto","Alerta","Busca e Apreensão","2020-02-24",1,2,3,4,14,26,0,7,15,5,4,8,10,1,3,8,8,5,8,5,13,0,3,9,3,4,8,85,57,3,1,9,20,3,7,12,3,28
"18","140XXX","Apelido18","Aberto","Ok","Busca e Apreensão","2019-08-15",3,4,0,6,19,34,3,5,18,1,1,10,14,3,0,10,8,3,8,8,15,4,8,8,3,7,7,84,67,0,4,7,19,2,3,16,4,22
"19","141XXX","Apelido19","Aberto","Ok","Busca e Apreensão","2019-01-04",4,5,5,6,12,39,5,6,14,4,4,8,15,2,2,5,7,3,6,5,13,5,9,4,0,5,5,89,55,0,2,3,19,2,6,19,0,22
"20","142XXX","Apelido20","Aberto","Atrasado","Busca e Apreensão","2019-03-10",1,2,0,4,10,40,0,7,19,4,5,5,10,5,0,5,9,4,8,9,10,5,3,6,4,10,10,95,69,3,3,9,18,1,4,11,5,37
"21","143XXX","Apelido21","Aberto","Alerta","Busca e Apreensão","2019-07-09",3,0,4,7,20,35,1,3,12,1,5,6,17,2,4,4,7,5,6,6,15,2,3,6,3,3,8,84,55,1,5,5,17,1,6,12,1,29
"22","144XXX","Apelido22","Aberto","Ok","Busca e Apreensão","2019-05-08",4,5,0,4,10,34,4,4,20,2,4,3,19,3,5,7,3,2,6,9,8,5,4,5,3,10,3,108,59,3,2,9,13,5,8,10,3,22
"23","145XXX","Apelido23","Aberto","Alerta","Busca e Apreensão","2019-08-16",0,5,5,4,16,30,0,2,19,3,1,10,18,1,0,6,6,4,5,7,9,3,3,4,3,7,8,89,66,0,2,7,15,2,3,16,0,26
"24","146XXX","Apelido24","Aberto","Ok","Busca e Apreensão","2019-11-19",1,0,2,3,10,35,1,5,11,4,4,10,17,1,1,6,8,4,3,9,8,1,3,9,3,5,4,115,59,5,5,3,17,5,8,15,0,22
"25","147XXX","Apelido25","Aberto","Ok","Busca e Apreensão","2020-01-31",2,5,2,5,12,27,4,6,11,4,4,10,12,5,1,4,5,5,3,9,11,0,3,4,1,9,9,94,65,3,4,7,16,2,7,11,3,22
"26","148XXX","Apelido26","Aberto","Atrasado","Busca e Apreensão","2019-10-24",3,1,2,7,13,25,5,4,13,2,3,8,13,4,0,4,5,3,9,3,9,0,5,9,5,10,3,111,68,1,4,5,19,2,10,20,4,32
"27","149XXX","Apelido27","Aberto","Atrasado","Busca e Apreensão","2020-03-10",5,4,2,7,19,37,0,5,12,3,2,3,20,2,3,6,10,0,10,3,12,2,4,6,3,10,4,95,67,5,3,5,19,1,3,12,5,39
"28","150XXX","Apelido28","Aberto","Ok","Busca e Apreensão","2020-03-10",3,2,2,5,19,31,5,3,18,3,3,3,19,1,2,8,10,3,5,3,11,2,3,6,2,9,10,93,66,5,5,7,18,3,7,18,4,22
"29","151XXX","Apelido29","Aberto","Atrasado","Busca e Apreensão","2019-11-10",3,3,1,5,20,37,3,6,14,5,2,4,10,5,5,6,10,0,3,9,14,5,6,3,2,4,4,115,59,0,0,3,13,4,5,11,4,35
"30","152XXX","Apelido30","Aberto","Ok","Busca e Apreensão","2019-11-16",3,1,2,2,17,28,0,3,12,3,2,4,15,3,0,5,7,0,3,9,11,1,8,4,3,3,9,104,56,0,4,4,13,1,6,18,3,22
"31","153XXX","Apelido31","Aberto","Alerta","Busca e Apreensão","2019-07-05",0,3,0,2,10,28,3,5,17,5,4,4,12,5,4,7,3,2,8,5,14,4,9,4,4,3,6,88,69,4,3,6,19,3,10,10,1,30
"32","154XXX","Apelido32","Aberto","Ok","Busca e Apreensão","2019-09-05",0,5,4,7,11,38,4,6,14,1,2,7,11,4,3,9,5,1,3,3,9,1,8,10,3,10,10,93,66,0,1,8,15,4,9,16,2,22
"33","155XXX","Apelido33","Aberto","Atrasado","Busca e Apreensão","2019-09-03",4,4,4,6,14,26,5,2,14,4,1,10,14,0,0,8,6,3,6,6,14,3,10,5,4,7,6,113,58,3,4,10,11,3,9,15,1,31
"34","156XXX","Apelido34","Aberto","Alerta","Busca e Apreensão","2019-04-21",2,5,3,5,14,37,1,5,15,3,5,4,11,0,4,6,7,5,4,9,10,5,6,4,0,4,10,82,67,0,0,9,20,0,7,12,4,26
"35","157XXX","Apelido35","Aberto","Atrasado","Busca e Apreensão","2019-09-26",2,3,4,3,18,32,1,6,18,3,2,9,10,4,0,9,8,0,6,8,8,2,3,6,2,7,3,82,70,5,2,5,15,1,3,16,0,38
"36","158XXX","Apelido36","Aberto","Atrasado","Busca e Apreensão","2019-12-12",4,5,3,5,20,31,1,4,18,2,2,9,12,0,4,4,9,4,6,4,14,5,6,4,5,5,7,102,60,4,1,9,15,5,10,14,3,32
"37","159XXX","Apelido37","Aberto","Ok","Busca e Apreensão","2019-07-12",0,2,5,4,14,34,1,2,14,4,2,5,20,3,2,7,4,4,3,5,15,4,3,3,1,6,8,106,57,2,5,4,19,1,7,16,4,22
"38","160XXX","Apelido38","Aberto","Ok","Busca e Apreensão","2019-06-25",4,4,4,2,14,36,0,5,15,1,4,6,17,1,0,5,5,1,5,9,10,4,8,5,5,3,4,115,60,2,5,6,19,1,5,14,5,22
"39","161XXX","Apelido39","Aberto","Alerta","Busca e Apreensão","2020-02-15",1,4,2,5,12,34,5,4,15,5,3,5,18,0,4,9,10,1,9,3,8,5,3,10,0,8,3,93,60,1,2,9,10,3,5,16,4,27
"40","162XXX","Apelido40","Aberto","Ok","Busca e Apreensão","2019-05-03",0,2,2,7,12,26,5,4,10,1,3,3,20,5,0,6,5,1,6,5,11,0,9,6,1,10,6,103,58,5,5,9,10,5,5,10,1,22
"41","163XXX","Apelido41","Encerrado","Atrasado","Busca e Apreensão","2019-10-11",3,0,1,2,17,32,2,6,11,4,2,5,20,1,0,6,6,2,8,7,9,3,9,9,1,9,4,83,64,3,1,7,20,5,5,12,5,40
"42","164XXX","Apelido42","Encerrado","Atrasado","Busca e Apreensão","2019-06-28",4,2,3,2,13,27,3,6,15,3,1,3,20,2,3,5,6,2,9,5,9,5,3,8,4,7,7,111,60,2,4,3,18,2,3,11,3,33
"43","165XXX","Apelido43","Encerrado","Ok","Busca e Apreensão","2019-08-10",5,5,1,3,14,33,1,2,12,3,5,6,12,5,1,8,9,5,3,9,8,2,3,10,3,7,5,104,59,4,1,3,17,2,3,19,0,22
"44","166XXX","Apelido44","Encerrado","Ok","Busca e Apreensão","2019-09-18",5,3,1,6,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","167XXX","Apelido45","Encerrado","Atrasado","Busca e Apreensão","2019-02-18",0,5,4,4,15,27,5,6,11,5,5,4,15,4,1,7,7,3,4,3,14,5,7,4,3,3,5,93,62,1,0,10,16,5,5,13,5,35
"46","168XXX","Apelido46","Encerrado","Ok","Busca e Apreensão","2019-04-24",2,3,5,5,12,33,3,7,19,4,2,8,10,4,4,7,3,4,5,9,13,3,5,5,4,5,10,82,65,2,4,9,10,1,7,20,2,22
"47","169XXX","Apelido47","Encerrado","Ok","Busca e Apreensão","2019-03-13",2,0,2,7,10,38,1,5,17,3,1,6,14,2,5,8,5,5,4,9,9,3,6,3,3,8,10,98,57,4,2,10,12,2,8,17,0,22
"48","170XXX","Apelido48","Encerrado","Alerta","Busca e Apreensão","2019-01-18",3,2,0,5,14,40,5,5,11,3,3,5,14,3,1,4,7,0,6,8,8,2,7,7,2,10,6,93,69,3,1,4,15,2,6,12,0,30
"49","171XXX","Apelido49","Encerrado","Ok","Busca e Apreensão","2019-07-25",2,4,5,4,14,27,0,6,10,4,4,5,12,1,2,3,6,4,10,8,13,4,7,8,2,9,6,114,58,1,2,5,20,0,10,12,1,22
"50","172XXX","Apelido50","Encerrado","Ok","Busca e Apreensão","2020-03-17",5,3,2,3,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","173XXX","Apelido51","Encerrado","Alerta","Busca e Apreensão","2019-11-01",3,5,0,5,17,32,0,6,15,1,5,8,17,4,4,10,4,4,6,8,8,3,10,7,1,3,10,113,70,4,2,10,10,5,10,10,5,29
"52","174XXX","Apelido52","Encerrado","Alerta","Busca e Apreensão","2020-03-11",1,1,0,5,13,36,1,3,19,3,2,4,10,2,0,4,9,0,6,8,9,1,3,8,2,5,5,108,61,3,3,9,14,0,8,15,2,26
"53","175XXX","Apelido53","Encerrado","Atrasado","Busca e Apreensão","2019-03-09",5,0,4,7,20,34,1,6,17,5,4,4,14,3,1,3,10,4,7,7,14,0,5,9,3,7,10,89,60,3,0,8,15,4,4,14,2,39
"54","176XXX","Apelido54","Encerrado","Ok","Busca e Apreensão","2019-03-17",4,3,3,7,18,26,2,7,20,3,3,7,17,5,1,7,3,0,8,9,11,3,5,9,5,5,6,114,57,3,1,6,17,4,4,14,5,22
"55","177XXX","Apelido55","Encerrado","Alerta","Busca e Apreensão","2020-01-28",4,2,3,6,11,32,0,2,15,1,3,3,14,1,1,5,10,4,10,10,13,1,9,7,1,4,4,110,56,0,5,4,17,2,7,14,2,29
"56","178XXX","Apelido56","Encerrado","Alerta","Busca e Apreensão","2019-04-04",4,2,4,4,16,35,5,5,18,2,2,6,13,5,4,5,4,1,9,3,11,5,9,9,4,9,5,101,58,5,1,4,12,1,8,13,2,30
