"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"1","123XXX","Apelido1","Aberto","Atrasado","Busca e Apreensão","2019-10-16",1,1,1,3,15,30,1,3,15,1,1,5,15,1,1,5,5,1,5,5,10,1,5,5,1,5,5,90,60,1,1,5,15,1,5,15,1,59
"2","124XXX","Apelido2","Aberto","Atrasado","Busca e Apreensão","2020-03-11",0,0.1,3,5,12,26,3,4,13,4,3,3,18,4,4,5,8,1,6,10,15,4,8,9,5,10,6,110,67,2,1,5,20,3,4,12,4,51
"3","125XXX","Apelido3","Aberto","Atrasado","Busca e Apreensão","2020-02-16",0,5,3,2,12,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","126XXX","Apelido4","Aberto","Atrasado","Busca e Apreensão","2020-04-14",4,2,3,7,16,27,4,4,12,1,2,6,14,3,4,6,3,4,10,3,13,3,6,5,4,4,3,94,70,0.1,4,6,15,3,8,20,5,51
"5","127XXX","Apelido5","Aberto","Atrasado","Busca e Apreensão","2019-04-22",2,3,2,7,19,40,3,7,19,2,4,5,12,3,3,6,6,2,5,7,10,4,5,8,0.1,4,3,113,59,0.1,5,8,12,2,5,18,2,54
"6","128XXX","Apelido6","Aberto","Atrasado","Busca e Apreensão","2019-07-21",1,5,0.1,2,20,39,2,3,17,2,1,6,16,5,1,9,4,1,7,8,12,5,9,4,2,9,7,85,68,2,1,8,13,4,4,13,2,65
"7","129XXX","Apelido7","Aberto","Atrasado","Busca e Apreensão","2019-04-06",1,1,5,2,17,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","130XXX","Apelido8","Aberto","Atrasado","Busca e Apreensão","2019-07-28",5,0.1,1,5,12,35,0.1,5,20,3,1,5,20,4,3,10,8,2,3,7,12,4,5,7,2,8,4,111,69,2,3,7,20,1,3,18,5,50
"9","131XXX","Apelido9","Aberto","Atrasado","Busca e Apreensão","2020-01-27",3,2,3,2,14,32,1,5,17,4,3,3,11,2,2,6,4,4,6,5,8,3,10,10,5,7,3,115,57,5,5,10,12,2,7,17,4,51
"10","132XXX","Apelido10","Aberto","Atrasado","Busca e Apreensão","2019-06-18",1,2,5,2,18,33,5,7,17,4,5,8,15,2,1,3,9,2,10,7,12,3,4,9,3,3,4,112,62,5,0.1,8,19,2,5,14,0.1,68
"11","133XXX","Apelido11","Aberto","Atrasado","Busca e Apreensão","2019-03-21",2,2,3,3,18,28,3,5,19,4,3,9,18,1,5,8,3,4,9,10,13,0.1,4,7,5,6,7,87,70,5,3,7,16,0.1,7,18,2,60
"12","134XXX","Apelido12","Aberto","Atrasado","Busca e Apreensão","2020-03-21",5,0.1,2,4,20,39,0.1,4,17,4,5,9,15,4,2,9,3,5,5,5,11,0.1,10,7,3,5,8,94,66,3,0.1,9,16,3,8,20,2,51
"13","135XXX","Apelido13","Aberto","Atrasado","Busca e Apreensão","2019-01-15",0,1,5,3,16,25,0.1,6,17,1,2,4,10,4,0.1,10,9,2,6,4,9,2,9,10,3,4,6,110,62,0.1,5,3,10,5,4,15,3,56
"14","136XXX","Apelido14","Aberto","Atrasado","Busca e Apreensão","2019-11-23",0,3,5,3,11,31,4,4,12,2,5,3,14,0.1,4,8,7,1,8,4,13,1,5,7,4,5,9,89,58,3,1,10,17,5,8,10,2,68
"15","137XXX","Apelido15","Aberto","Atrasado","Busca e Apreensão","2019-11-09",2,4,0.1,5,17,26,5,6,20,4,5,4,16,4,0.1,10,5,3,9,5,13,1,9,8,2,6,6,110,63,2,3,6,18,5,4,16,4,59
"16","138XXX","Apelido16","Aberto","Atrasado","Busca e Apreensão","2020-01-28",0,3,2,3,15,31,4,7,19,3,4,8,13,0.1,0.1,4,4,1,4,6,11,4,5,4,3,5,8,116,67,2,5,4,11,2,9,18,0.1,55
"17","139XXX","Apelido17","Aberto","Atrasado","Busca e Apreensão","2020-02-24",1,2,3,4,14,26,0.1,7,15,5,4,8,10,1,3,8,8,5,8,5,13,0.1,3,9,3,4,8,85,57,3,1,9,20,3,7,12,3,57
"18","140XXX","Apelido18","Aberto","Atrasado","Busca e Apreensão","2019-08-15",3,4,0.1,6,19,34,3,5,18,1,1,10,14,3,0.1,10,8,3,8,8,15,4,8,8,3,7,7,84,67,0.1,4,7,19,2,3,16,4,51
"19","141XXX","Apelido19","Aberto","Atrasado","Busca e Apreensão","2019-01-04",4,5,5,6,12,39,5,6,14,4,4,8,15,2,2,5,7,3,6,5,13,5,9,4,0.1,5,5,89,55,0.1,2,3,19,2,6,19,0.1,51
"20","142XXX","Apelido20","Aberto","Atrasado","Busca e Apreensão","2019-03-10",1,2,0.1,4,10,40,0.1,7,19,4,5,5,10,5,0.1,5,9,4,8,9,10,5,3,6,4,10,10,95,69,3,3,9,18,1,4,11,5,66
"21","143XXX","Apelido21","Aberto","Atrasado","Busca e Apreensão","2019-07-09",3,0.1,4,7,20,35,1,3,12,1,5,6,17,2,4,4,7,5,6,6,15,2,3,6,3,3,8,84,55,1,5,5,17,1,6,12,1,58
"22","144XXX","Apelido22","Aberto","Atrasado","Busca e Apreensão","2019-05-08",4,5,0.1,4,10,34,4,4,20,2,4,3,19,3,5,7,3,2,6,9,8,5,4,5,3,10,3,108,59,3,2,9,13,5,8,10,3,51
